id,title,vote_average,popularity,tags
19995,Avatar,7.2,150.437577,samworthington zoesaldana sigourneyweaver stephenlang michellerodriguez action adventure fantasy sciencefiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d jamescameron in 22nd century paraplegic marine dispatched moon pandora unique mission becomes torn following orders protecting alien civilization
285,Pirates of the Caribbean: At World's End,6.9,139.082615,johnnydepp orlandobloom keiraknightley stellanskarsgrd chowyunfat adventure fantasy action ocean drugabuse exoticisland eastindiatradingcompany loveofoneslife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger goreverbinski captain barbossa long believed dead come back life headed edge earth will turner elizabeth swann but nothing quite seems
206647,Spectre,6.3,107.376788,danielcraig christophwaltz laseydoux ralphfiennes monicabellucci action adventure crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom sammendes a cryptic message bonds past sends trail uncover sinister organization while m battles political forces keep secret service alive bond peels back layers deceit reveal terrible truth behind spectre
49026,The Dark Knight Rises,7.6,112.31295,christianbale michaelcaine garyoldman annehathaway tomhardy action crime drama thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante coverup superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman christophernolan following death district attorney harvey dent batman assumes responsibility dents crimes protect late attorneys reputation subsequently hunted gotham city police department eight years later batman encounters mysterious selina kyle villainous bane new terrorist leader overwhelms gothams finest the dark knight resurfaces protect city branded enemy
49529,John Carter,6.1,43.926995,taylorkitsch lynncollins samanthamorton willemdafoe thomashadenchurch action adventure sciencefiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d andrewstanton john carter warweary former military captain whos inexplicably transported mysterious exotic planet barsoom mars reluctantly becomes embroiled epic conflict its world brink collapse carter rediscovers humanity realizes survival barsoom people rests hands
559,Spider-Man 3,5.9,115.699814,tobeymaguire kirstendunst jamesfranco thomashadenchurch tophergrace fantasy action adventure dualidentity amnesia sandstorm loveofoneslife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge samraimi the seemingly invincible spiderman goes allnew crop villain including shapeshifting sandman while spidermans superpowers altered alien organism alter ego peter parker deals nemesis eddie brock also gets caught love triangle
38757,Tangled,7.4,48.681969,zacharylevi mandymoore donnamurphy ronperlman mcgainey animation family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick byronhoward nathangreno when kingdoms wantedand charmingbandit flynn rider hides mysterious tower hes taken hostage rapunzel beautiful feisty towerbound teen 70 feet magical golden hair flynns curious captor whos looking ticket tower locked away years strikes deal handsome thief unlikely duo sets actionpacked escapade complete supercop horse overprotective chameleon gruff gang pub thugs
99861,Avengers: Age of Ultron,7.3,134.279229,robertdowneyjr chrishemsworth markruffalo chrisevans scarlettjohansson action adventure sciencefiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d josswhedon when tony stark tries jumpstart dormant peacekeeping program things go awry earths mightiest heroes put ultimate test fate planet hangs balance as villainous ultron emerges the avengers stop enacting terrible plans soon uneasy alliances unexpected action pave way epic unique global adventure
767,Harry Potter and the Half-Blood Prince,7.4,98.885637,danielradcliffe rupertgrint emmawatson tomfelton michaelgambon adventure fantasy family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf davidyates as harry begins sixth year hogwarts discovers old book marked property halfblood prince begins learn lord voldemorts dark past
209112,Batman v Superman: Dawn of Justice,5.7,155.790452,benaffleck henrycavill galgadot amyadams jesseeisenberg action adventure fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse zacksnyder fearing actions godlike super hero left unchecked gotham citys formidable forceful vigilante takes metropoliss revered modernday savior world wrestles sort hero really needs and batman superman war one another new threat quickly arises putting mankind greater danger its ever known before
